"","scenarioID","model","nIteration","pos","ratePos","mEs","nA","nB","nEff","sampleSize","samplePrior","p1","p2","p3","marginColiVBAT"
"95","scenario184","bayesglm",1460,1292,0.884931506849315,-0.0208553505833599,411.553424657534,222.076712328767,633.630136986301,800,300,0.4,"0.38",0.4,"-0.02"
"96","scenario185","bayesglm",1460,1315,0.900684931506849,-0.0216928915103451,421.784931506849,228.169178082192,649.954109589041,820,300,0.4,"0.38",0.4,"-0.02"
"97","scenario186","bayesglm",1460,1327,0.908904109589041,-0.0207693370559899,431.57602739726,233.647945205479,665.22397260274,840,300,0.4,"0.38",0.4,"-0.02"
"98","scenario187","bayesglm",1460,1335,0.914383561643836,-0.0211427985013371,443.101369863014,238.801369863014,681.902739726027,860,300,0.4,"0.38",0.4,"-0.02"
"99","scenario188","bayesglm",1460,1339,0.917123287671233,-0.0207051752820243,452.638356164384,244.21095890411,696.849315068493,880,300,0.4,"0.38",0.4,"-0.02"
"100","scenario189","bayesglm",1460,1357,0.929452054794521,-0.0200085835528173,463.320547945205,250.189726027397,713.510273972603,900,300,0.4,"0.38",0.4,"-0.02"
"101","scenario19","bayesglm",1460,75,0.0513698630136986,0.100178733401362,288.23904109589,155.428082191781,443.667123287671,560,300,0.4,"0.5",0.4,"0.1"
"102","scenario190","bayesglm",1460,1344,0.920547945205479,-0.0197756590413516,473.52602739726,255.630821917808,729.156849315068,920,300,0.4,"0.38",0.4,"-0.02"
"103","scenario191","bayesglm",1460,1353,0.926712328767123,-0.0197664271638827,483.881506849315,260.991095890411,744.872602739726,940,300,0.4,"0.38",0.4,"-0.02"
"104","scenario192","bayesglm",1460,1359,0.930821917808219,-0.0202424221496858,495.230821917808,266.340410958904,761.571232876712,960,300,0.4,"0.38",0.4,"-0.02"
"105","scenario193","bayesglm",1460,1369,0.937671232876712,-0.0206545434211175,504.258904109589,271.976712328767,776.235616438356,980,300,0.4,"0.38",0.4,"-0.02"
"106","scenario194","bayesglm",1460,1379,0.944520547945205,-0.0199326211854654,515.215068493151,277.425342465753,792.640410958904,1000,300,0.4,"0.38",0.4,"-0.02"
"107","scenario195","bayesglm",1460,1372,0.93972602739726,-0.0195532752392065,524.978767123288,283.099315068493,808.078082191781,1020,300,0.4,"0.38",0.4,"-0.02"
"108","scenario196","bayesglm",1460,1383,0.947260273972603,-0.0192829165818755,535.889726027397,288.624657534247,824.514383561644,1040,300,0.4,"0.38",0.4,"-0.02"
"109","scenario197","bayesglm",1460,1409,0.965068493150685,-0.0209738572226081,545.829452054795,293.954794520548,839.784246575342,1060,300,0.4,"0.38",0.4,"-0.02"
"110","scenario198","bayesglm",1460,1391,0.952739726027397,-0.0212821939978215,556.940410958904,299.308219178082,856.248630136986,1080,300,0.4,"0.38",0.4,"-0.02"
"111","scenario199","bayesglm",1460,1398,0.957534246575342,-0.0202410058317173,566.453424657534,305.571917808219,872.025342465753,1100,300,0.4,"0.38",0.4,"-0.02"
"112","scenario2","bayesglm",1460,85,0.0582191780821918,0.099696338821106,113.245890410959,61.1780821917808,174.42397260274,220,300,0.4,"0.5",0.4,"0.1"
"113","scenario20","bayesglm",1460,76,0.0520547945205479,0.102301907658291,298.625342465753,160.981506849315,459.606849315069,580,300,0.4,"0.5",0.4,"0.1"
"114","scenario200","bayesglm",1460,1403,0.960958904109589,-0.0197072016680367,576.830136986301,311.202054794521,888.032191780822,1120,300,0.4,"0.38",0.4,"-0.02"
